Вопрос,Ответ
"Добрый вечер. Подскажите пожалуйста, а суммируются ли данные баллы с баллами от проекта ""Тест-Драйв УрФУ"" !?!? Или при поступление в ВУЗ будет система ""или то, или это"" ??","Добрый вечер. Система такая, то что находится в одном блоке (2 балла, 3 балла и и.д), то или или"
"Добрый вечер. Система такая, то что находится в одном блоке (2 балла, 3 балла и и.д), то или или","Т.е если участвовал в олимпиаде изумруд, а также участвовал в проекте тест драйв, то 6 баллов не будет?"
"А можете подсказать проходной балла в том году для льготной категории участники СВО какой был? Если я правильно понимаю, то там баллы могут отличаться.","Добрый день. Нет какого-то определенного балла, если будет много абитуриентов в этой категории льготников, то среди них тоже будет конкурс, поэтому предсказать сложно"
"Здравствуйте 
Подскажите какой проходной балл был на 11.00.00 электронику на бюджет?","Добрый вечер. Лучше ориентироваться на баллы 2022 года, потому что в этом году набор будет снова на направления, а не на УГН"
"Здравствуйте, подскажите пожалуйста сколько баллов дают за серебряную медаль (1 четверка в аттестате)",Доброе утро. 4 балла
Доброе утро. 4 балла,"Здравствуйте, в документах смотрела было написано, что 5 баллов за серебряную медаль. На сайте неправильно указали?"
"Здравствуйте, в документах смотрела было написано, что 5 баллов за серебряную медаль. На сайте неправильно указали?","В правилах приема четко написано 4 балла, серебряная медаль это медаль II степени"
"Здравствуйте, а когда будут известы баллы на бюджет на 09.03.03 прикладной искусственный интеллект?",Добрый день. О каких баллах идет речь?
"Добрый вечер. У меня вопрос. Если 2 предмета набрать в районе 50-60 баллов по 100-балльной системе, а математику профильную только на порог для аттестата(27 баллов по 100-балльной системе). Есть ли шанс попасть на платное?","Добрый вечер. К сожалению, нет. Минимальный балл для вуза - 39"
"Добрый вечер. К сожалению, нет. Минимальный балл для вуза - 39","Добрый день! Военная специальность подавать документы так же через ЛК, не могу разобраться. Или как через целевое подавать документы."
"Доброе утро! Подскажите пожалуйста, какие баллы для поступления на бюджет требуются на направление 11.03.03.?","Доброе утро. В прошлом году набор был на укркпненную группу, балл не совсем корректный. Лучше ориентироваться на баллы 190-200"
"То есть существует вероятность того, что баллы на бюджет могут чуть-чуть пониже стать?","Конечно всегда существует такая вероятность, нравится как показывает статистика, чаще балл возрастает. Но ещё будет зависеть от того, как в целом сдали ЕГЭ"
"Нужно написать ЕГЭ более 60 баллов, если будет ниже, то дополнительные баллы будут за медаль?",Доп. Баллы даются по факту предоставления документы об образовании с отличием
"Добрый день 
Сколько дают баллов за серебряную и золотую медали при поступлении?",5 баллов. https://priem-rtf.urfu.ru/ru/complete/ весь перечень инд. достижений можно посмотреть здесь
"здравствуйте, проходной балл на бюджет рассчитывается как среднее арифметическое среди всех прошедших или самый минимальный балл поступившего человека?","Здравствуйте,  Екатерина.  Самый минимальный балл, например,  230-ое место в рейтинге имело 254 балла."
"Здравствуйте, скажите можно ли где-то найти списки зачисленных на бюджет за 2023 год с общей суммой баллов ЕГЭ или просто среднюю сумму баллов ЕГЭ зачисленных на бюджет за 2023 на направление Программная инженерия?","Добрый день. Проходной юалл на Программную инженерия в 2023 был 254
Проходные баллы прошлых лет у нас на сайте  https://priem-rtf.urfu.ru/ru/passing-points/"
"Добрый день. Проходной юалл на Программную инженерия в 2023 был 254
Проходные баллы прошлых лет у нас на сайте  https://priem-rtf.urfu.ru/ru/passing-points/","Я имел в виду немного другое, проходной балл я видел, хочу найти какую в среднем сумму за ЕГЭ набирает абитуриент, которого зачислили на бюджет, но не минимальную"
"Я имел в виду немного другое, проходной балл я видел, хочу найти какую в среднем сумму за ЕГЭ набирает абитуриент, которого зачислили на бюджет, но не минимальную","Списки никто не выставляет , это персональные данные. Всё остальные баллы 254 и выше"
5 баллов. https://priem-rtf.urfu.ru/ru/complete/ весь перечень инд. достижений можно посмотреть здесь,"Добрый день, подскажите, пожалуйста, по Вашей ссылке и за серебро, и за золото 5 баллов. А на сайте вижу такую информацию?"
у кого какие баллы?,"Надеюсь, что будет также как и с профматом опрос, чтобы больше людей отметили свои баллы😀"
"Добрый день,  подскажите для поступления на платной основе есть ли какие-то минимальные суммарные баллы менее которых на платной основе не поступить? ( я имею ввиду не минимальные баллы для поступления в институ)","Да, от 170 баллов на Программную инженерию, Информационную безопасность,  Алгоритмы искусственного интеллекта и Прикладной искусственный интеллект"
"Доброе утро,а красный диплом ,если мы из Казахстана ,даёт баллы ?","Добрый день. Да, любой диплом/аттестат с отличием дает доп. баллы"
"Здравствуйте, в чем отличие 09 направлений, если основные дисциплины, предметы по выбору и учебный план одинаковые? Вопрос возник в силу того, что проходные баллы разные.","Доброе утро. Разные как раз потому ,чтобы была возможность входа на бюджет у большего числа абитуриентов. Планы действительно одинаковые, возможность выбора тоже. Поэтому оиентирцйтесь на баллы"
"Если подаем на контракт, оплачиваем и параллельно подаём на бюджет и проходим по баллам на бюджет. Будут ли возвращены оплаченные деньги?",Сколько у вас баллов? Я вас примерно сориентирую сразу
"Добрый вечер! Любовь, подскажите пожалуйста, на контракт приём без конкурса по баллам, просто заключаем договор и оплачиваем? Видеда что в плане приема есть конкретные цифры мест на контракт, а если желащих будет больше, чем мест?","Добрый вечер.  До 20 августа мы берём на контракт желающих. В доп.прием точно не будем брать на направления, где закроем цифры. Мест хватит объявленных, не волнуйтесь"
А есть разные спецкурсы? За которые получают баллы брс?,За все курсы ставятся баллы в брс
а какие средние баллы поступивших в том году на этих направлениях?,"По прошлому году сложно судить, потому что три направления были объединены в одну группу и абитуриенты растерялись, балл был низкий , ориентироваться на него не советую"
а какие средние баллы поступивших в том году на этих направлениях?,https://priem-rtf.urfu.ru/ru/passing-points/ можете посмотреть проходные баллы за несколько лет
"Добрый день! Подскажите пож, проходные баллы прошлого года на:  11.03.01,  11.03.02,  11.03.03","Здравствуйте,  Елена. В прошлом году эти программы были объединены в одну 11.00.00, проходной балл туда был в районе 150."
"Если выпускник спо сдаст документы 15-16 июня,, то успеет сдать вступительные экзамены?","Доброе утро. Да, приём документов на базе СПО до 18 июля, экзамены до 25 июля"
"Доброе утро! Подскажите пожалуйста когда станут известны проходные баллы на этот год, после подачи документов от всех желающих?","Доброе утро. Они не будут известны 🙃 Проходной балл формируется при зачислении, он будет таким, какой будет у крайнего абитуриента, прошедшего на бюджет"
"Доброе утро. Они не будут известны 🙃 Проходной балл формируется при зачислении, он будет таким, какой будет у крайнего абитуриента, прошедшего на бюджет","Получается, чтобы понимать есть ли возможность пройти на бюджет, надо ориентироваться на проходной балл предыдущего года?"
"Здравствуйте, подскажите пожалуйста, дополнительные баллы дают за медаль и красный аттестат? Баллы суммируются ? Или только за медаль, а красный аттестат не учитывается?",Доброе утро. Баллы даются за медаль / аттестат с отличием - 5 баллов
"Здравствуйте, есть ли шанс попасть на бюджет на направления 09  с 226 баллов+ 3 балла за участие в олимпиаде ""Изумруд""?","в прошлом году мин проходной балл был 233, в этом году сократили бюджетные места на 100 штук, поэтому врятли"
"Здравствуйте. Подскажите, пожалуйста, за волонтёрство же даются дополнительные баллы. Если да, то сколько и как это указать при поступлении?","Да, есть 1 балл, но не менее 100 верифицированных часов за текущий год"
"Добрый вечер! Скажите пожалуйста, почему в таблице ""Полный список поступающих"" не отображаются баллы ЕГЭ?","Баллы ЕГЭ выгружается пакетно раз в день. Если сдавали по паспорту, который при подаче документов (не меняли), то все хорошо, ждите, выгрузят"
"Подскажите,пожалуйста,через какое время получится начать вступительные экзамены после подачи заявления?
Диплом спо выдадут 5 июля,если заявление подаст 6.07 ,то с понедельникка можно будет начать сдавать?","После того, как приняты документы, у вас будет открыт доступ к экзаменам. Если вы поступаете на бюджет, то сдать нужно до 25 июля"
"Здравствуйте, а какие в прошлом году были баллы на информатику и вычислительную технику? (платная основа) На поступи екб пишут 134, но может быть есть полный список поступивших? И как вообще можно узнать сколько осталось платных мест на направления?","Доброе утро. До 20 августа идет приём на контракт. В этот период мы возьмём желающих. Вы конено можете попытаться поступить и с низкими баллами на ИВТ , другой вопрос как вы будете учиться ? Учебную программуже вам придётся осваивать. Статистику по контрактнам не ведём. Бывают исключения, что ребята с низкими баллами стараются и учатся хорошо, главное, чтобы база по математике была хорошей. А так, ваше право тратить деньги и нести ответственность за свое обучение. Поверьте, контрактников мы точно также отчисляем, как и бюджетников, если не будете учиться"
"Здравствуйте, имеет смысл подавать на бюджет 09 направления с 214 баллами?",А на контракт с этими баллами попаду?
"А можно где то посмотреть минимальные баллы контрактников, которые былы зачислены, прошлых лет?","Нигде, списки не выставляются. Что конкретно вас интересует? Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами. До 20 августа возбмем всех желающих"
"Нигде, списки не выставляются. Что конкретно вас интересует? Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами. До 20 августа возбмем всех желающих","Беспокоюсь, что не хватит мест на контракт. У меня 219 баллов + участие в Изумруде."
"Подскажите, пожалуйста, будут ли звонить из приемной комиссии и говорить, что проходим, и просить привезти оригинал аттестата? Или нужно самим заранее его отвезти?🙏","Конечно нужно самим мониторить ситуацию, обычно обзваниваем высокобалльников, чтобы понимать всем остальным, какие шансы"
"Нет, нужны баллы прошлого года","Это не минимальные, а проходные тогда баллы https://priem-rtf.urfu.ru/ru/passing-points/"
"добрый вечер! извините, что спрашиваю, может, уже спрашивали, но: здесь написано, что завершение приема документов от поступающих  по вступительным - 18.07. Это значит, что я должна сдать экзамен до 18.07? Гражданин РК","Нет, вы должны подать документы до 18 июля, экзамены до 25 июля"
"Привет. Такое ощущение, что на проходные баллы прошлого года нет смысла ориентироваться вообще. Кажется, меньше 260 проходной на 09 не будет?",Ну почему. У нас 5 образовательных программ по 09. Баллы могут варьироваться
"Добрый день, есть ли шанс пройти на бюджет , если баллы будут на 5-7 меньше , чем заявлено на сайте ?","Пробовать всегда можно. На сайте указаны баллы по факту зачисления.  Что будет в этом году, пока сложно  предсказать . Ближе к концу июля можно делать прогнозы"
"это списки на 24 год? если проходной балл ниже, есть смысл подавать?","Проходной балл 2023 года, бюджетные места этого года. Смысл есть. Одновременно приоритеты можно расставить на бюджет и контракт. Финальный результат все равно будет известен не раньше августа."
"https://urfu.ru/ru/ratings/ 
Хочу уточнить по поводу конкурсных списков 
Пожалуйста, внимательно прочитайте инструкцию
Сейчас они сформированы так:
По каждой образовательной программе конкурсный список содержит следующие разделы:
отдельная квота — количество мест в плане приема;
особая квота — количество мест в плане приема;
целевая квота (с указанием заказчика) — количество мест в плане приема;
основные места — количество мест в плане приема
Сейчас показаны цифры на сегодняшний день. После 29 июля цифра на общий конкурс изменится с учетом неизрасходованных мест по льготам и целевым","основные места – план приема 79, это значит 79 бюджетных мест?"
"основные места – план приема 79, это значит 79 бюджетных мест?","вот бы 260 баллов хватило, а то пока что на 89 месте"
"исходя из ваших баллов вы все равно можете примерно предположить, пройдете или нет. Мы по крайней мере примерно ориентируем","А если 250 баллов, можете сориентировать?)"
"Здравствуйте, а важны ли баллы при поступление по платной основе? Есть ли какой-нибудь минимум на каждое направление?","Здравствуйте. На некоторые программы обязательный минимум 170. На остальные необходимо набрать минимальные  баллы, выдвинутые Министерством."
мне одному кажется что баллы в этом году вырастут на 10-15? Что то очень больно на списки смотреть,мне главное чтобы 260 баллов хватило
мне главное чтобы 260 баллов хватило,а так мне кажется 250 баллов вполне может быть на бюджет ивт
"а как скоро обновляются списки? потому что у меня заявление принято,а уже часа ~4 не появляюсь в списках
а еще вопрос касательно баллов: какие баллы учитываются при поступлении? я сдавал егэ в 2023 и в 2024. притом, по русскому в 2023 я набрал больше чем в 2024, а по математике и информатике наоборот. автоматически ли учитывается максимальный балл или нужно где-то самому выбирать?","Появитесь,, пройдите.. баллы проверяйте сами,  если будет не так, пишите письмо на почту приёмной комиссии"
"Здравствуйте! Напишите, пожалуйста, сколько дополнительных баллов дают за значки ГТО.",Информация с сайта УрФУ. 2 балла только за золотой значок
"Здравствуйте, подскажите, пожалуйста, где можно увидеть проходные баллы прошлого года?",У нас на сайте есть проходные баллы прошлых лет https://priem-rtf.urfu.ru/ru/passing-points/
"Добрый вечер, такая ситуация, сын - выпускник колледжа, 2 года назад сдавал ЕГЭ, набрал баллы. Но сейчас, как выпускник колледжа, хочет сдать вступительные испытания, а система не дает возможности сдать их, курсы в мудле видны, заходит туда - там нет ничего. Может сдать только русский язык, который он не сдавал и все. Как можно решить эту проблему?","Если у него приняты документы, то должны быть экзамены"
Добрый день. Заявление подано через ГУ 06.07. В конкурсных списках нет. Как долго обрабатывается заявление?,"Задержки особой нет в обработке документов.  Вы уверены, что вас нет в конкурсных списках?"
"Доброе утро! В заявлении на поступление, которое я заполняю в личном кабинете абитуриента в таблице индивидуальных достижений не указан ГТО, хотя документ в личный кабинет загрузила. Так и должно быть?","если прошло много времени, то пишите на почту приемной комиссии и прикладывайте скан"
"Добрый день. Подскажите, вчера подали документы, лично. В конкурсных списках есть, а дополнительных баллов не учли. Участие в очном этапе ""Изумруд"" по математике и информатике, распечатали дипломы и отдали копии. Почему не учли?","их не сразу проставляют, проверяют и проставят. Если 3 дня и не появятся, то пишите на почту приемной комиссии
можно конкретно на почту специалиста s.a.neyskaya@urfu.ru по инд. достижениям"
У нас на сайте есть проходные баллы прошлых лет https://priem-rtf.urfu.ru/ru/passing-points/,Ранее в чате ссылку отправляли на проходные баллы с 2019 года
"Здравствуйте. В ГУ не получается поставить отметку о оригинале. Подавали документы через ЛК. Возможности принести лично нет. Звонили в приемную комиссию нам сказали отозвать документы с ЛК и подать на ГУ.  Рег. Номер 314578 
Помогите пожалуйста 🙏🙏","на уточнении, мы  такое не отвечали, вы звонили в саму приемную комиссию?"
"и есть ли шанс поступить , если 252 балла ,просто не получилось найти средний бал на ИВТ за прошлый год",Это баллы  были в прошлом году
"и есть ли шанс поступить , если 252 балла ,просто не получилось найти средний бал на ИВТ за прошлый год","Если интересен средний балл за 2023 год, то можно глянуть списки через сайт wayback machine, на сайте вставить ссылку на конкурсные списки и выбрать нужную дату"
"Добрый день, Любовь Владимировна. 17.07 мы уже обращались с вопросом об отсутствии баллов за индивидуальные достижения в зелёном списке. Написали на почту приемной комиссии, отправили скан сертификата, но ничего не изменилось. Просто на программную инженерию 3 балла не лишние. Рег.номер 324779. Пока ещё в списке. Помогите, пожалуйста.",Добрый. Но у вас стоит 3 доп.балла
"Здравствуйте, мне не начислили 3 балла за участие в заключительном этапе всероссийской олимпиады, хотя мы с вами разговаривали о ней и вы сказали начислят. Называется ""Отраслевая олимпиада школьников Газпром""","письмо на почту приемной комиссии, инд. достижения же они проставляют"
"Слишком много людей у кого выше моего балла, оооочень...","Там на одну специальность проходной был 233 балла. Ты правда думаешь, что проходной вырастет на 29?"
"Здравствуйте, кому приоритетнее дают общежитие бюджетникам или платникам, или всех сортируют баллам?","всех ранжируют по баллам, даем всем)"
Где можно посмотреть списки зачисленных прошлого года? Хочется оценить свои шансы поступить на АИИ при 240 баллах,В прошлом году 240 баллов был проходной на АИИ на бюджет :)
"Проходной балл основывается на последнем участнике. Если ср. балл будет около проходного, я буду спокоен.(Так я смогу понять, сколько высокобалльников остаётся и подаёт аттестаты, а не уезжает в мск/СПб). Я посчитал сколько передо мной уникальных абитуриентов(из всех 09 направлений), и число почти в два раза больше количества мест, если вдруг все подадут оригиналы, то я не пройду(по среднему баллу можно понять тенденцию в прошлых годах)","с высокобалльниками мы работаем отдельно после зачисления льготников. Средний балл обычно считается по одному предмету, действительно вам это даст информацию? я могу написать вам средний балл по 09, если вы хотите"
"с высокобалльниками мы работаем отдельно после зачисления льготников. Средний балл обычно считается по одному предмету, действительно вам это даст информацию? я могу написать вам средний балл по 09, если вы хотите","Да, по 09 ср. балл хочу узнать"
Про средний балл тоже хотелось бы узнать. Особенно волнует программная инженерия.,"Здравствуйте, Ольга. Математическое ожидание среднего балла посчитаем только в сентябре. 🙂 По прошлому году, к сожалению, не считали."
"Спасибо. А сейчас известно, какой процент абитуриентов подали уже оригиналы? С 25 июля по 3 августа, сильные изменения в списках ждать? Просто до минимального балла сейчас 20 человек. Реально, что поступишь или нет?","лучше смотреть после 29 июля, когда будут окончательные цифры приема по общему конкурсу"
Про средний балл тоже хотелось бы узнать. Особенно волнует программная инженерия.,"по поводу среднего балла на бюджет  в 2023 году!
Информатика и вычислительная техника - 80,49
АИИ - 81,4
Прикладная информатика - 80,2
Программная инженерия 86,1"
"если у меня 1500+ место, и сдал оригинал документа,Есть ли шансы на поступление на бюджет?",А у тебя какой балл?
"если у меня 1500+ место, и сдал оригинал документа,Есть ли шансы на поступление на бюджет?","нужно смотреть не место по копиям, а понимать сколько баллов и направления. Лучше смотреть шансы по оригиналам"
"Добрый день, прошу подскажите пожалуйста 27 и 28 июля какие часы работы приемной комиссии чтобы принести оригинал аттестата.","в субботу с 9.00 до 14.00
28.07 будет работать только ГУК-100 и только на прием оригиналов"
"вырастет в этом году проходной балл, вот хотелось бы верить, что ненамного","И нам хотелось бы верить, что проходной балл не на много вырастет"
"Добрый день, хотел уточнить , а приемная комиссия будет работать 28 числа ?","Нет. Рабочие и приемные дни с понедельника по субботу. Если подавали документы через Госуслуги, то оригиналы в этот день можно подать через них."
"Добрый день, хотел уточнить , а приемная комиссия будет работать 28 числа ?",до 14.00 будет работать только ГУК-100 и только на прием оригиналов
до 14.00 будет работать только ГУК-100 и только на прием оригиналов,"Добрый день, глупый вопрос, извините. Стараюсь все читать, но запуталась. Если ребенок через приемную комиссию подавал документы, но оригинал аттестата не отдал изначально, позже через госуслуги поставил галочку о подаче оригинала аттестата , надо принести оригинал в приемную комиссию ножками? До какого числа?"
"Смотря о какой программе речь. Вот тут баллы по прошлому году. А по текущему - в конкурсных списках можно найти. В любом случае, если не сработает первый приоритет - дальше пойдет конкурс по второму и так далее.","а допустим тот у кого приоритет 1 будет выше того, у кого приоритет 2? а если тот человек который не прошел по одной специальности с 1 приоритетом , а пойдет на 2, но баллов у него будет больше чем у меня, то я уйду вниз? или у меня будет преимущество?"
"На прикладной информатике вдвое урезали бюджетные места. Там балл уже не будет 233 как в прошлом году, поэтому только ивт","80 мест в принципе нормально, поэтому может поднимется на балла 3-4"
"если у вас хорошие баллы, зачем ждать до последнего? А если будут проблемы тех на ГУ?",А хорошие баллы это сколько? Как сориентироваться? 248 это хорошие?
А хорошие баллы это сколько? Как сориентироваться? 248 это хорошие?,"Баллы неплохие, но не для всех программ.  Шансы есть"
"Все очень надеятся, но проходные баллы подросли по сравнению с предыдущими годами, остается только надеяться и ждать. Всем удачи и терпения! С первого приоритета уже вышли из зеленой зоны😢",сколько у вас баллов и какой проходной был в прошлом году?
сколько у вас баллов и какой проходной был в прошлом году?,"Баллов 241, на 09.03.03 прикладная информатика в 2023 проходной был 233, в 2022 проходной 229…вчера был на 60 месте, сегодня на 90…"
"Баллов 241, на 09.03.03 прикладная информатика в 2023 проходной был 233, в 2022 проходной 229…вчера был на 60 месте, сегодня на 90…","На прикладной информатике в два раза уменьшили кол-во бюджетных мест, поэтому там вырастет проходной балл"
"Здравствуйте, если уже не прошёл по бюджету и решился на платное, то как узнать мин балл и есть ли место?","Места есть. Если у вас от 170 баллов, можете выбирать любое направление"
Проходной балл прошлого года?,"Да, 254 балла"
похоже с моими баллами после отбора не пройду,наверное 262 балла будет маловато
"Здравствуйте. Извините, если уже писали (не нашла), а есть какой-то прогноз на 29 направление? А то балл вырос уже на 21.... (по сравнению с прошлым годом)",Нет у нас прогнозов. Уже боимся лишний раз отвечать. Балл растет повсеместно
"Коллеги могут поправить,  но по баллам егэ вроде","Мне студенты говорили, что выбор делают независимо от баллов ЕГЭ все 9 направление одновременно в первый семестр"
"Денис Сергеевич прав, что баллы ЕГЭ будут влиять на выбор, например, математики.
В этом году есть нюансы. Но вам всё подробно объяснят про выбор перед началом учебного года.",Приоткройте чуть-чуть  занавес  и расскажите  пожалуйста  хоть  от скольки баллов  по математике   будет  приоритет  при выборе ?)
"Будет ранжирование по баллам ЕГЭ. Будет предложен выбор по трём уровням обучения:
Продвинутый 85+ баллов, основной и базовый (с пороговыми баллами). 
Если студент считает, что его уровень выше, чем были получены баллы или, наоборот, высокие баллы были получены случайно, то будет предложено собеседование на тот уровень, на котором он себя хотел бы видеть. 

Уровни обучения математики продуманы так, чтобы студенты с пороговыми баллами смогли подтянуть дополнительно  школьную математику. А высокобалльники уже могли бы попробовать решать междисциплинарные задачи.","Ура, а балл за русский будет где то учитываться?"
"Будет ранжирование по баллам ЕГЭ. Будет предложен выбор по трём уровням обучения:
Продвинутый 85+ баллов, основной и базовый (с пороговыми баллами). 
Если студент считает, что его уровень выше, чем были получены баллы или, наоборот, высокие баллы были получены случайно, то будет предложено собеседование на тот уровень, на котором он себя хотел бы видеть. 

Уровни обучения математики продуманы так, чтобы студенты с пороговыми баллами смогли подтянуть дополнительно  школьную математику. А высокобалльники уже могли бы попробовать решать междисциплинарные задачи.",Но я так понимаю  все будет  проходить с помощью  тестирования?  Или сразу будет  деление  по баллами?
"Здравствуйте! На алгоритмы ИИ на контракт, нужно определенное количество баллов?",от 170 баллов
"Здравствуйте, если мы по дадим на контракт, то меня исключат из списка конкурса на бюджетной основе?","Здравствуйте,  Вадим. Лучше дождитесь конец конкурса,  если не пройдете на бюджет ни по одному из приоритетов, приедите к нам и оформим контракт. Приехать и оплатить можно до 20 августа"
"Здравствуйте, подскажите, пожалуйста, ранее говорили, что на специалитет, если от Минобороны будут не все места заняты, то они перейдут в общий конкурс на бюджет.
Сейчас на сайте указано, что на специалитет 20 бюджетных мест, это уже с освободившимися целевыми местами? Или есть ещё возможность увеличения бюджетных мест?","Здравствуйте, Любовь Михайловна. Все целевые места заняты,  в общем конкурсе на гражданском треке ровно 20 мест."
"Добрый вечер! Моя дочка мечтает поступить на РТФ. Подскажите пожалуйста,  когда планируется ""День открытых дверей""?  Хотелось бы познакомиться) и задать кучку вопросов.","Первые дни открытых дверей приёмной комиссии  будут 14-15 января. В конце февраля в рамках дня рождения ИРИТ-РТФ будет наш день открытых дверей ""Вселенная ИРИТ-РТФ """
"Приходите на Пик ИТ или на наш день открытых дверей, который скорее всего будет 7 апреля. Скоро сделаем анонс","здравствуйте, подскажите, следующий день открытых дверей будет иметь такую же программу, что и сегодня?"
"здравствуйте, а когда начинаются вступительные экзамены для граждан других стран снг?",Добрый день. Все экзамены начнутся с 1 июля
Здравствуйте! Где можно найти вступительные экзамены прошлых лет?,Добрый день. О каких экзаменах идёт речь?
"И как проходит сдача вступительных экзаменов, если я выпусник колледжа (УПК-МЦК)?",Вся информация для поступающих после колледжа есть у нас на сайте https://priem-rtf.urfu.ru/colledj/. Экзамены дистанционно с асинхронным  прокторингом.
я то поступаю по вступительным экзаменам,Ну дак за экзамены тоде результаты должны проверить и загрузить
"Здравствуйте, где можно посмотреть конкурсные списки? на сайте не нашел. Точнее нашел, но что то странное","Конкурсных списков пока не будет, только алфавитные. Не раньше июля"
"Здравствуйте, подскажите, а будут ли конкурсные списки конкретно по РТФ?","Конкурсные списки на сайте УрФУ,  на своей странице мы сделаем переход на списки, когда они появятся"
"Доброе утро, подскажите пжлст , конкурсные списки как найти на сайте? Их уже публикуют? Или когда будут публиковать?","Уже несколько раз писали, что конкурсные списки есть на сайте https://urfu.ru/ru/applicant/lists/"
Какой сейчас конкурс на бакалавриат в 09 и 11,"Сейчас вам никто не скажет конкурс, ориентируйьесь на прошлые годы или на конкурсный список по оригиналам"
Сколько раз в день после 28 июля будет обновляться конкурсный список?,конкурсные списки обновляются каждый день
"Если абитуриент не может разобраться в госуслугах, беспокоится за поступление, спрашивает у команды вы унижаете его, говорите ""детский сад"". Если требуете уважительного отношения - проявляйте его в ответ","в первую очередь ваше поступление - это ваше дело, так что 🤷🏼‍♀️ 
никто никого не оскорбляет, все уже взрослые!!!! люди
будьте поответственнее немножко сами за себя"
