ID,Вопрос,Ответ
11,"А можете подсказать проходной балла в том году для льготной категории участники СВО какой был? Если я правильно понимаю, то там баллы могут отличаться.","Проходной балл для льготной категории участников СВО в Уральском федеральном университете не является фиксированным и может варьироваться ежегодно. Это связано с количеством поданных заявлений от абитуриентов данной категории и общим конкурсом на выбранные направления. Если количество заявлений превышает выделенную квоту, среди абитуриентов проводится дополнительный конкурс, и проходной балл определяется на основе результатов этого конкурса.

Дополнительную информацию можно найти в разделе ""Льготы при поступлении"" на сайте УрФУ."
12,"Добрый вечер. У меня вопрос. Если 2 предмета набрать в районе 50-60 баллов по 100-балльной системе, а математику профильную только на порог для аттестата(27 баллов по 100-балльной системе). Есть ли шанс попасть на платное?","Минимальный проходной балл для каждого предмета, установленный вузом, составляет не менее 39 баллов (для математики, физики, информатики и других профильных предметов). Это правило распространяется как на бюджетную, так и на платную форму обучения.

Для получения более подробной информации о минимальных баллах и условиях поступления вы можете ознакомиться с правилами на сайте УрФУ."
13,"Добрый день, подскажите, пожалуйста, за золотую медаль 5 баллов?","За золотую медаль «За особые успехи в учении» начисляется 5 дополнительных баллов при поступлении в УрФУ. Эти баллы учитываются в рамках индивидуальных достижений и прибавляются к вашей общей конкурсной сумме.

Подробный перечень индивидуальных достижений и начисляемых за них баллов можно найти в официальном разделе на сайте УрФУ: Перечень индивидуальных достижений."
14,"Добрый день, подскажите для поступления на платной основе есть ли какие-то минимальные суммарные баллы менее которых на платной основе не поступить? ( я имею ввиду не минимальные баллы для поступления в институ)","Для поступления на платной основе на некоторые направления требуется набрать минимальные суммарные баллы. Например, для таких программ как ""Программная инженерия"", ""Информационная безопасность"", ""Алгоритмы искусственного интеллекта"" и ""Прикладной искусственный интеллект"" минимальная сумма баллов составляет 170.

Для более подробной информации о каждом направлении, рекомендуем ознакомиться с правилами приема на сайте УрФУ: Раздел «Приемная кампания» УрФУ."
15,"Доброе утро,а красный диплом ,если мы из Казахстана ,даёт баллы ?","Наличие диплома с отличием дает дополнительные баллы при поступлении в УрФУ, независимо от страны, где был получен аттестат или диплом. Такие дипломы считаются индивидуальным достижением, и за них начисляются дополнительные баллы, которые могут быть учтены при конкурсном отборе.

Для получения точной информации о начисляемых баллах за диплом с отличием рекомендуется ознакомиться с правилами приема на официальном сайте УрФУ: Раздел «Приемная кампания» УрФУ."
16,"Здравствуйте, в чем отличие 09 направлений, если основные дисциплины, предметы по выбору и учебный план одинаковые? Вопрос возник в силу того, что проходные баллы разные.","Баллы разные,чтобы была возможность входа на бюджет у большего числа абитуриентов. Возможность выбора есть на всех 09 направлениях. Планы, действительно, похожи, однако имеют некоторые отличия.

Точная информация об образовательных программах и учебных планах находится на сайте УрФУ в разделе «Каталог образовательных программ» https://programs.edu.urfu.ru/ru/ "
17,"Если подаем на контракт, оплачиваем и параллельно подаём на бюджет и проходим по баллам на бюджет. Будут ли возвращены оплаченные деньги?","Для зачисления на контракт возможно заключить договор, оплатить его, затем дождаться зачисления на бюджет. Если абитуриент будет зачислен на бюджет, то договор будет расторгнут и денежные средства возвращены.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
18,"Подскажите пожалуйста, на контракт приём без конкурса по баллам, просто заключаем договор и оплачиваем? Видеда что в плане приема есть конкретные цифры мест на контракт, а если желащих будет больше, чем мест?","До завершения приема документов мы берём на контракт желающих. В дополнительный прием точно не будем брать на направления, где закроем цифры. Мест хватит объявленных. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
19,За какие курсы и предметы ставятся баллы в балльно-рейтинговую систему (брс)?,За все предметы ставятся баллы в брс
20,Какие средние баллы поступивших в том году на направлениях?,Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/
21,"Подскажите, проходные баллы прошлого года на: 11.03.01, 11.03.02, 11.03.03","В прошлом году эти программы были объединены в одну 11.00.00, проходной балл туда был в районе 150.

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
22,"Если выпускник спо сдаст документы 15-16 июня,, то успеет сдать вступительные экзамены?","Приём документов на базе СПО завершается раньше, чем вступительные экзамены, поэтому, да, успеет

Подробную информацию по вашему вопросу можете найти https://urfu.ru/priemurfu/articles/urfu-posle-kolledzha и на сайте ирит-ртф https://priem-rtf.urfu.ru/colledj/"
23,"Подскажите пожалуйста когда станут известны проходные баллы на этот год, после подачи документов от всех желающих?","Проходной балл формируется при зачислении, он будет таким, какой будет у крайнего абитуриента, прошедшего на бюджет. Однако ориентироваться можно на итоги прошлых лет.

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
24,"Подскажите пожалуйста, дополнительные баллы дают за медаль и красный аттестат? Баллы суммируются ? Или только за медаль, а красный аттестат не учитывается?","Доброе утро. Баллы даются за медаль или аттестат с отличием - 5 баллов.

Подробная информация о баллах за индивидуальные достижения https://urfu.ru/ru/applicant/docs-abiturient/olimp/"
25,"Есть ли шанс попасть на бюджет на направления 09 с 226 баллов+ 3 балла за участие в олимпиаде ""Изумруд""?","В прошлом году минимальный проходной балл на 09 направления был 239, у вас 229 баллов в сумме, поэтому у вас вряд ли получится попасть на бюджет

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
26,"Подскажите, пожалуйста, за волонтёрство же даются дополнительные баллы. Если да, то сколько и как это указать при поступлении?","Да, вы можете получить 1 балл за волнтерство, число верифицированных часов должно быть не менее 100.

Подробная информация о баллах за индивидуальные достижения https://urfu.ru/ru/applicant/docs-abiturient/olimp/"
27,"Скажите пожалуйста, почему в таблице ""Полный список поступающих"" не отображаются баллы ЕГЭ?","Баллы ЕГЭ выгружаются пакетно раз в день. Если сдавали по паспорту, который при подаче документов (не меняли), то ждите, скоро выгрузят"
28,"После того, как будут приняты документы, у вас будет открыт доступ к экзаменам. Если вы поступаете на бюджет, то сдать нужно до 25 июля

Подробную информацию по вашему вопросу можете найти https://urfu.ru/priemurfu/articles/urfu-posle-kolledzha и на сайте ирит-ртф https://priem-rtf.urfu.ru/colledj/","После того, как будут приняты документы, у вас будет открыт доступ к экзаменам. Если вы поступаете на бюджет, то сдать нужно до 25 июля

Подробную информацию по вашему вопросу можете найти https://urfu.ru/priemurfu/articles/urfu-posle-kolledzha и на сайте ирит-ртф https://priem-rtf.urfu.ru/colledj/"
29,"Здравствуйте, а какие в прошлом году были баллы на информатику и вычислительную технику? (платная основа) На поступи екб пишут 134, но может быть есть полный список поступивших? И как вообще можно узнать сколько осталось платных мест на направления?","Доброе утро. До 20 августа идет приём на контракт. В этот период мы берем всех желающих, статистика по контрактам не ведётся. Вы можете попытаться поступить с низкими баллами на ИВТ, вопрос как вы будете учиться? Учебную программу достаточно сложно осваивать. Бывает, что ребята с низкими баллами стараются и учатся хорошо, главное, чтобы база по математике была хорошей. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
30,"Здравствуйте, имеет смысл подавать на бюджет 09 направления с 214 баллами?","В прошлом году минимальный проходной балл на 09 направления был 239, у вас 214 баллов, поэтому у вас вряд ли получится попасть на бюджет

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
31,"А можно где то посмотреть минимальные баллы контрактников, которые былы зачислены, прошлых лет?","До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
32,"Беспокоюсь, что не хватит мест на контракт. У меня 219 баллов + участие в Изумруде.","До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
33,"Подскажите, пожалуйста, будут ли звонить из приемной комиссии и говорить, что проходим, и просить привезти оригинал аттестата? Или нужно самим заранее его отвезти?🙏","Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
34,"добрый вечер! извините, что спрашиваю, может, уже спрашивали, но: здесь написано, что завершение приема документов от поступающих по вступительным - 18.07. Это значит, что я должна сдать экзамен до 18.07? Гражданин РК","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
35,"Привет. Такое ощущение, что на проходные баллы прошлого года нет смысла ориентироваться вообще. Кажется, меньше 260 проходной на 09 не будет?","У нас 5 образовательных программ на 09 направлении, поэтому баллы могут варьироваться"
36,"Добрый день, есть ли шанс пройти на бюджет , если баллы будут на 5-7 меньше , чем заявлено на сайте ?","Пробовать всегда можно. На сайте указаны баллы по факту зачисления. Что будет в этом году, пока сложно предсказать. Ближе к концу июля можно делать прогнозы

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
37,"это списки на 24 год? если проходной балл ниже, есть смысл подавать?","Проходной балл 2023 года, бюджетные места этого года. Подавать документы смысл есть. Вы можете расставить приоритеты одновременно на бюджет и контракт. Финальный результат все равно будет известен не раньше августа.

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
38,"Хочу уточнить по поводу конкурсных списков основные места – план приема 79, это значит 79 бюджетных мест?","Пожалуйста, внимательно прочитайте инструкцию. Сейчас они сформированы так: По каждой образовательной программе конкурсный список содержит следующие разделы: отдельная квота — количество мест в плане приема; особая квота — количество мест в плане приема; целевая квота (с указанием заказчика) — количество мест в плане приема; основные места — количество мест в плане приема Сейчас показаны цифры на сегодняшний день. После 29 июля цифра на общий конкурс изменится с учетом неизрасходованных мест по льготам и целевым"
39,"Здравствуйте, а важны ли баллы при поступление по платной основе? Есть ли какой-нибудь минимум на каждое направление?","Здравствуйте. На некоторые программы обязательный минимум 170. На остальные необходимо набрать минимальные баллы, выдвинутые Министерством. На платную основу берем всех желающих, кто набрал обязательный минимум.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
40,"а как скоро обновляются списки? потому что у меня заявление принято,а уже часа ~4 не появляюсь в списках а еще вопрос касательно баллов: какие баллы учитываются при поступлении? я сдавал егэ в 2023 и в 2024. притом, по русскому в 2023 я набрал больше чем в 2024, а по математике и информатике наоборот. автоматически ли учитывается максимальный балл или нужно где-то самому выбирать?","Срок обработки заявления составляет до 5 рабочих дней, списки на сайте обновляются ежедневно в постепенной форме. По Вашему вопросу Вы также можете обратиться в отборочную комиссию Вашего института: +7 (343) 375-93-71,  rtf.priem@urfu.ru, l.v.sergeeva@urfu.ru или в приемную комиссию УрФУ: priem@urfu.ru

Если вы сдавали один и тот же экзамен несколько раз, то при поступлении можно учитывать лучший результат, а не последний. Для этого нужно указать в заявлении год, когда вы получили высший балл — при формировании списков приемная комиссия учтет именно его.

Подробнее о поступлении можете прочитать информацию на официальном сайте УрФУ"
41,"Здравствуйте! Напишите, пожалуйста, сколько дополнительных баллов дают за значки ГТО.","За золотой значок ГТО дается 2 балла.За золотой значок ГТО дается 2 балла. 

Подробная информация о баллах за индивидуальные достижения https://urfu.ru/ru/applicant/docs-abiturient/olimp/"
42,"Здравствуйте, подскажите, пожалуйста, где можно увидеть проходные баллы прошлого года?",Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/
43,"Добрый вечер, такая ситуация, сын - выпускник колледжа, 2 года назад сдавал ЕГЭ, набрал баллы. Но сейчас, как выпускник колледжа, хочет сдать вступительные испытания, а система не дает возможности сдать их, курсы в мудле видны, заходит туда - там нет ничего. Может сдать только русский язык, который он не сдавал и все. Как можно решить эту проблему?","Если у вас были приняты документы, то должны экзамены должны были появиться в системе

Вы также можете обратиться в отборочную комиссию Вашего института: +7 (343) 375-93-71,  rtf.priem@urfu.ru, l.v.sergeeva@urfu.ru или в приемную комиссию УрФУ: priem@urfu.ru

Подробная информация о поступлении после колледжа https://urfu.ru/priemurfu/articles/urfu-posle-kolledzha"
44,Добрый день. Заявление подано через госуслуги 06.07. В конкурсных списках нет. Как долго обрабатывается заявление?,"Срок обработки заявления составляет до 5 рабочих дней, списки на сайте обновляются ежедневно в постепенной форме. По Вашему вопросу Вы также можете обратиться в отборочную комиссию Вашего института: +7 (343) 375-93-71,  rtf.priem@urfu.ru, l.v.sergeeva@urfu.ru или в приемную комиссию УрФУ: priem@urfu.ru

Если вы сдавали один и тот же экзамен несколько раз, то при поступлении можно учитывать лучший результат, а не последний. Для этого нужно указать в заявлении год, когда вы получили высший балл — при формировании списков приемная комиссия учтет именно его.

Подробнее о поступлении можете прочитать информацию на официальном сайте УрФУ"
45,"Доброе утро! В заявлении на поступление, которое я заполняю в личном кабинете абитуриента в таблице индивидуальных достижений не указан ГТО, хотя документ в личный кабинет загрузила. Так и должно быть?","Если прошло много времени после загрузки документа в личный кабинет, то лучше обратиться в обратиться в комиссию Вашего института: +7 (343) 375-93-71,  rtf.priem@urfu.ru, l.v.sergeeva@urfu.ru или в приемную комиссию УрФУ: priem@urfu.ru, не забудьте приложить скан документа"
46,"Добрый день. Подскажите, вчера подали документы, лично. В конкурсных списках есть, а дополнительных баллов не учли. Участие в очном этапе ""Изумруд"" по математике и информатике, распечатали дипломы и отдали копии. Почему не учли?","Баллы за индивидуальные достижения выставляют не сразу. Если через 3 рабочих дня после подачи заявленияи они не появятся, то можете обратиться в отборочную комиссию Вашего института: +7 (343) 375-93-71,  rtf.priem@urfu.ru, l.v.sergeeva@urfu.ru или можно конкретно на почту специалиста s.a.neyskaya@urfu.ru по индивидульным достижениям"
47,"и есть ли шанс поступить , если 252 балла ,просто не получилось найти средний бал на ИВТ за прошлый год","Если интересен средний балл за 2023 год, то можете посмотреть списки через сайт wayback machine, вставьте ссылку на конкурсные списки и выберите нужную дату

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
48,"Здравствуйте, кому приоритетнее дают общежитие бюджетникам или платникам, или всех сортируют баллам?","Всех ранжируют по баллам, общежитие предоставляется студентам и на бюджетной, и на контрактной основе обучения (при подаче документов нужно было указать в соответствующем окне, что вы нуждаетесь в общежитии).

Подробнее о поселении Вы можете узнать на нашем сайте https://urfu.ru/ru/students/social/campus/"
49,Где можно посмотреть списки зачисленных прошлого года? Хочется оценить свои шансы поступить на АИИ при 240 баллах,"В прошлом году 240 баллов был проходной на АИИ на бюджет. Если вы хотите посмотреть конкурсные списки прошлого года, то попробуйте посмотреть их через сайт wayback machine, вставьте ссылку на конкурсные списки и выберите нужную дату

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
50,"Спасибо. А сейчас известно, какой процент абитуриентов подали уже оригиналы? С 25 июля по 3 августа, сильные изменения в списках ждать? Просто до минимального балла сейчас 20 человек. Реально, что поступишь или нет?","Процент абитуриентов, подавших оригиналы,  лучше смотреть, когда закончится приём по общему конкурсу"
51,Про средний балл тоже хотелось бы узнать. Особенно волнует программная инженерия.,"Средний балл на бюджет в 2023 году на 09 направления - Информатика и вычислительная техника - 80,49 Алгоритмы искусственного интеллекта - 81,4 Прикладная информатика - 80,2 Программная инженерия 86,1"
52,"если у меня 1500+ место, и сдал оригинал документа,Есть ли шансы на поступление на бюджет?","Невозможно оценить шансы поступления на бюджет. Если вы уже подали оригиналы документов, то отслеживайте своё место не в списках по копиям, а в списках по оригиналам. "
53,"Добрый день, хотел уточнить , в какие дни работает приемная комиссия?",Рабочие дни применой комиссии можно посмотреть по этой ссылке https://urfu.ru/ru/applicant/contacts/
54,А хорошие баллы это сколько? Как сориентироваться? 248 это хорошие?,"Баллы неплохие, но не для всех программ. Шансы поступить на бюджет есть. 

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
55,"Здравствуйте, если уже не прошёл по бюджету и решился на платное, то как узнать мин балл и есть ли место?","На некоторые программы обязательный минимум 170. На остальные необходимо набрать минимальные баллы, выдвинутые Министерством. На платную основу берем всех желающих, кто набрал обязательный минимум.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
56,Проходной балл прошлого года?,Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/
57,"Здравствуйте. Извините, если уже писали (не нашла), а есть какой-то прогноз на 29 направление? А то балл вырос уже на 21.... (по сравнению с прошлым годом)",Невозможно оценить шансы поступления и спрогнозировать баллы.
58,от скольки баллов по математике будет приоритет при выборе ?,"Будет ранжирование по баллам ЕГЭ. Будет предложен выбор по трём уровням обучения: Продвинутый 85+ баллов, основной и базовый (с пороговыми баллами). Если студент считает, что его уровень выше, чем были получены баллы или, наоборот, высокие баллы были получены случайно, то будет предложено собеседование на тот уровень, на котором он себя хотел бы видеть. Уровни обучения математики продуманы так, чтобы студенты с пороговыми баллами смогли подтянуть дополнительно школьную математику. А высокобалльники уже могли бы попробовать решать междисциплинарные задачи."
59,"Здравствуйте! На алгоритмы ИИ на контракт, нужно определенное количество баллов?",Минимальный балл на контрактную основу на Алгоритмы искусственного интеллекта 170 баллов. 
60,"Здравствуйте, если мы подадим на контракт, то меня исключат из списка конкурса на бюджетной основе?","Даже после того, как абитуриент подпишет договор с вузом, его не исключают из списка претендентов на бюджет, он вправе и дальше участвовать в конкурсе.
Если абитуриент пройдет по конкурсу на бюджет, нужно расторгнуть договор о платном обучении: обратиться в приемную комиссию вуза с заявлением о расторжении договора.
Однако лучше дождаться конца конкурса, и, если вы не пройдете на бюджет ни по одному из приоритетов, приедите к нам и оформим контракт.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
61,"Здравствуйте, подскажите, пожалуйста, ранее говорили, что на специалитет, если от Минобороны будут не все места заняты, то они перейдут в общий конкурс на бюджет. Сейчас на сайте указано, что на специалитет 20 бюджетных мест, это уже с освободившимися целевыми местами? Или есть ещё возможность увеличения бюджетных мест?","Указанные 20 мест на сайте - это все доступные бюджетные места. На целевое обучение были заняты все места, поэтому бюджетные места не увеличились."
62,"Добрый вечер! Моя дочка мечтает поступить на РТФ. Подскажите пожалуйста, когда планируется ""День открытых дверей""? Хотелось бы познакомиться) и задать кучку вопросов.","Первые дни открытых дверей приёмной комиссии будут в середине января. В конце февраля в рамках дня рождения ИРИТ-РТФ будет наш день открытых дверей ""Вселенная ИРИТ-РТФ "". 

Следите за новостоями на сайте ИРИТ-РТФ https://rtf.urfu.ru/ru/ и на сайте УрФУ https://urfu.ru/ru/applicant/open-days/"
63,"здравствуйте, а когда начинаются вступительные экзамены для граждан других стран снг?","Все вступительные экзамены, в том числе для иностранных граждан начинаются 1 июля. 

Подробная информация о поступлении для иностранных абитуриентов https://urfu.ru/ru/international/int-admission/ 
Подробная информация о вступительных экзаменах https://urfu.ru/ru/applicant/docs-abiturient/exams/"
64,Здравствуйте! Где можно найти вступительные экзамены прошлых лет?,Для доступа к демо-вариантам вступительных испытаний и материалам для самостоятельной подготовки зарегистрируйтесь на сайте school.urfu.ru.
65,"И как проходит сдача вступительных экзаменов, если я выпусник колледжа (УПК-МЦК)?",Вся информация для поступающих после колледжа есть на сайте УрФУ https://urfu.ru/priemurfu/articles/urfu-posle-kolledzha и на сайте ирит-ртф https://priem-rtf.urfu.ru/colledj/. Экзамены проходят дистанционно с асинхронным прокторингом.
66,"Здравствуйте, где можно посмотреть конкурсные списки? на сайте не нашел. Точнее нашел, но что то странное",Конкурсные списки находтся на официальном сайте УрФУ https://urfu.ru/ru/applicant/lists/
67,"Здравствуйте, подскажите, а будут ли конкурсные списки конкретно по РТФ?",Конкурсные списки находятся на официальном сайте УрФУ https://urfu.ru/ru/applicant/lists/
68,"Доброе утро, подскажите пжлст , конкурсные списки как найти на сайте? Их уже публикуют? Или когда будут публиковать?",Конкурсные списки находятся на официальном сайте УрФУ https://urfu.ru/ru/applicant/lists/
69,Сколько раз в день после 28 июля будет обновляться конкурсный список?,"Срок обработки заявления составляет до 5 рабочих дней, списки на сайте обновляются ежедневно в постепенной форме. По Вашему вопросу Вы также можете обратиться в отборочную комиссию Вашего института: +7 (343) 375-93-71,  rtf.priem@urfu.ru, l.v.sergeeva@urfu.ru или в приемную комиссию УрФУ: priem@urfu.ru"
70,Какие направления подготовки предлагает ИРИТ-РТФ?,"ИРИТ-РТФ предлагает следующие программы: Бакалавриат: Информатика и вычислительная техника (241 балл, 120 бюджетных мест) Прикладная информатика (247 баллов, 102 бюджетных места) Программная инженерия (244 балла, 230 бюджетных мест) Информационная безопасность (239 баллов, 101 бюджетное место) Радиотехника (184 балла, 50 бюджетных мест) Инфокоммуникационные технологии (217 баллов, 50 бюджетных мест) Конструирование и технология электронных средств (184 балла, 50 бюджетных мест) Управление в технических системах (217 баллов, 50 бюджетных мест) Технология полиграфического и упаковочного производства (182 балла, 45 бюджетных мест) Специалитет: Информационная безопасность телекоммуникационных систем (222 балла, 55 бюджетных мест) Информационно-аналитические системы безопасности (224 балла, 62 бюджетных места) Радиоэлектронные системы и комплексы (173 балла, 50 бюджетных мест)"
